2021-07-29 11:05:03,341 - DEBUG - 4
2021-07-29 11:05:03,342 - DEBUG - 4
2021-07-29 11:05:33,266 - DEBUG - 4
2021-07-29 11:05:33,266 - DEBUG - 4
2021-07-29 11:05:35,451 - DEBUG - -1
2021-07-29 11:06:10,207 - DEBUG - 4
2021-07-29 11:06:10,208 - DEBUG - 4
2021-07-29 11:06:10,208 - DEBUG - set to -1
2021-07-29 11:06:11,698 - DEBUG - -1
2021-07-29 16:18:43,538 - DEBUG - px, py: 43 19
2021-07-29 16:18:53,542 - DEBUG - px, py: 43 19
2021-07-29 16:19:03,565 - DEBUG - px, py: 43 19
2021-07-29 16:19:13,572 - DEBUG - px, py: 43 19
2021-07-29 16:19:23,576 - DEBUG - px, py: 43 19
2021-07-29 16:19:33,578 - DEBUG - px, py: 43 19
2021-07-29 16:19:43,587 - DEBUG - px, py: 43 19
2021-07-29 16:19:53,593 - DEBUG - px, py: 43 19
2021-07-29 16:20:03,597 - DEBUG - px, py: 43 19
2021-07-29 16:20:13,601 - DEBUG - px, py: 43 19
2021-07-29 16:20:23,605 - DEBUG - px, py: 43 19
2021-07-29 16:20:33,607 - DEBUG - px, py: 43 19
2021-07-29 16:20:43,611 - DEBUG - px, py: 43 19
2021-07-29 16:20:53,615 - DEBUG - px, py: 43 19
2021-07-29 16:21:03,619 - DEBUG - px, py: 43 19
2021-07-29 16:21:13,621 - DEBUG - px, py: 43 19
2021-07-29 16:21:23,625 - DEBUG - px, py: 43 19
2021-07-29 16:21:33,629 - DEBUG - px, py: 43 19
2021-07-29 16:21:43,632 - DEBUG - px, py: 43 19
2021-07-29 16:21:53,635 - DEBUG - px, py: 43 19
2021-07-29 16:22:03,639 - DEBUG - px, py: 43 19
2021-07-29 16:22:13,651 - DEBUG - px, py: 30 17
2021-07-29 16:54:17,801 - DEBUG - px, py: 41 17
2021-07-29 16:54:27,805 - DEBUG - px, py: 41 17
2021-07-29 16:54:35,888 - DEBUG - px, py: 41 17
2021-07-29 16:54:36,049 - DEBUG - px, py: 41 17
2021-07-29 16:54:36,200 - DEBUG - px, py: 41 17
2021-07-29 16:54:36,322 - DEBUG - px, py: 41 17
2021-07-29 16:54:36,488 - DEBUG - px, py: 41 17
2021-07-29 16:54:36,665 - DEBUG - px, py: 41 17
2021-07-29 16:54:36,833 - DEBUG - px, py: 41 17
2021-07-29 16:54:37,001 - DEBUG - px, py: 41 17
2021-07-29 16:54:37,184 - DEBUG - px, py: 41 17
2021-07-29 16:54:37,384 - DEBUG - px, py: 41 17
2021-07-29 16:54:37,552 - DEBUG - px, py: 41 17
2021-07-29 16:54:37,776 - DEBUG - px, py: 41 17
2021-07-29 16:54:37,968 - DEBUG - px, py: 41 17
2021-07-29 16:54:38,304 - DEBUG - px, py: 41 17
2021-07-29 16:54:38,488 - DEBUG - px, py: 41 17
2021-07-29 16:54:48,492 - DEBUG - px, py: 41 17
2021-07-29 16:54:58,496 - DEBUG - px, py: 41 17
2021-07-29 16:55:08,500 - DEBUG - px, py: 41 17
2021-07-29 16:55:18,503 - DEBUG - px, py: 41 17
2021-07-29 16:55:28,507 - DEBUG - px, py: 41 17
2021-07-29 16:55:38,511 - DEBUG - px, py: 41 17
2021-07-29 16:55:42,600 - DEBUG - px, py: 41 17
2021-07-29 16:55:42,753 - DEBUG - px, py: 41 17
2021-07-29 16:55:42,896 - DEBUG - px, py: 41 17
2021-07-29 16:55:43,280 - DEBUG - px, py: 41 17
2021-07-29 16:55:43,984 - DEBUG - px, py: 41 17
2021-07-29 16:55:44,400 - DEBUG - px, py: 41 17
2021-07-29 16:55:44,656 - DEBUG - px, py: 41 17
2021-07-29 16:55:44,816 - DEBUG - px, py: 41 17
2021-07-29 16:55:44,984 - DEBUG - px, py: 41 17
2021-07-29 16:55:45,184 - DEBUG - px, py: 41 17
2021-07-29 16:55:45,352 - DEBUG - px, py: 41 17
2021-07-29 16:55:51,841 - DEBUG - px, py: 41 17
2021-07-29 16:55:51,985 - DEBUG - px, py: 41 17
2021-07-29 16:55:52,144 - DEBUG - px, py: 41 17
2021-07-29 16:55:52,305 - DEBUG - px, py: 41 17
2021-07-29 16:55:52,456 - DEBUG - px, py: 41 17
2021-07-29 16:55:52,608 - DEBUG - px, py: 41 17
2021-07-29 16:55:52,825 - DEBUG - px, py: 41 17
2021-07-29 16:56:02,829 - DEBUG - px, py: 41 17
2021-07-29 16:56:12,836 - DEBUG - px, py: 41 17
2021-07-29 16:56:22,843 - DEBUG - px, py: 41 17
2021-07-29 16:56:32,848 - DEBUG - px, py: 41 17
2021-07-29 16:56:42,853 - DEBUG - px, py: 41 17
2021-07-29 16:56:52,860 - DEBUG - px, py: 41 17
2021-07-29 16:57:02,867 - DEBUG - px, py: 41 17
2021-07-29 16:57:12,871 - DEBUG - px, py: 41 17
2021-07-29 16:57:16,224 - DEBUG - px, py: 41 17
2021-07-29 16:57:16,400 - DEBUG - px, py: 41 17
2021-07-29 16:57:16,568 - DEBUG - px, py: 41 17
2021-07-29 16:57:16,768 - DEBUG - px, py: 41 17
2021-07-29 16:57:23,169 - DEBUG - px, py: 41 17
2021-07-29 16:57:23,682 - DEBUG - px, py: 41 17
2021-07-29 16:57:23,711 - DEBUG - px, py: 41 17
2021-07-29 16:57:23,742 - DEBUG - px, py: 41 17
2021-07-29 16:57:23,775 - DEBUG - px, py: 41 17
2021-07-29 16:57:23,807 - DEBUG - px, py: 41 17
2021-07-29 16:57:23,835 - DEBUG - px, py: 41 17
2021-07-29 16:57:23,866 - DEBUG - px, py: 41 17
